North American Industry Classification System (NAICS),Year,Wage
"Total employees, all industries",2019,28.32
"Total employees, all industries",2020,30.03
"Total employees, all industries",2021,30.67
"Total employees, all industries",2022,31.96
"Total employees, all industries",2023,33.55
Goods-producing sector,2019,30.27
Goods-producing sector,2020,31.41
Goods-producing sector,2021,31.88
Goods-producing sector,2022,33.44
Goods-producing sector,2023,35.5
Agriculture,2019,19.83
Agriculture,2020,20.52
Agriculture,2021,20.78
Agriculture,2022,21.75
Agriculture,2023,23.75
"Forestry, fishing, mining, quarrying, oil and gas",2019,41.38
"Forestry, fishing, mining, quarrying, oil and gas",2020,42.7
"Forestry, fishing, mining, quarrying, oil and gas",2021,44.16
"Forestry, fishing, mining, quarrying, oil and gas",2022,44.3
"Forestry, fishing, mining, quarrying, oil and gas",2023,47.4
Utilities,2019,43.95
Utilities,2020,46.44
Utilities,2021,47.08
Utilities,2022,47.86
Utilities,2023,49.41
Construction,2019,30.63
Construction,2020,31.39
Construction,2021,32.03
Construction,2022,33.77
Construction,2023,35.46
Manufacturing,2019,27.85
Manufacturing,2020,29.11
Manufacturing,2021,29.24
Manufacturing,2022,31.01
Manufacturing,2023,33.13
Services-producing sector,2019,27.81
Services-producing sector,2020,29.67
Services-producing sector,2021,30.36
Services-producing sector,2022,31.58
Services-producing sector,2023,33.06
Wholesale and retail trade,2019,22.01
Wholesale and retail trade,2020,23.03
Wholesale and retail trade,2021,23.47
Wholesale and retail trade,2022,24.7
Wholesale and retail trade,2023,25.94
Transportation and warehousing,2019,27.65
Transportation and warehousing,2020,28.9
Transportation and warehousing,2021,29.94
Transportation and warehousing,2022,30.37
Transportation and warehousing,2023,32.1
"Finance, insurance, real estate, rental and leasing",2019,33.66
"Finance, insurance, real estate, rental and leasing",2020,35.94
"Finance, insurance, real estate, rental and leasing",2021,37.44
"Finance, insurance, real estate, rental and leasing",2022,38.84
"Finance, insurance, real estate, rental and leasing",2023,40.93
"Professional, scientific and technical services",2019,36.14
"Professional, scientific and technical services",2020,37.89
"Professional, scientific and technical services",2021,38.47
"Professional, scientific and technical services",2022,41.64
"Professional, scientific and technical services",2023,44.24
"Business, building and other support services",2019,21.51
"Business, building and other support services",2020,22.79
"Business, building and other support services",2021,23.53
"Business, building and other support services",2022,24.88
"Business, building and other support services",2023,25.93
Educational services,2019,34.97
Educational services,2020,36.46
Educational services,2021,36.7
Educational services,2022,37.5
Educational services,2023,38.71
Health care and social assistance,2019,28.08
Health care and social assistance,2020,29.22
Health care and social assistance,2021,29.55
Health care and social assistance,2022,30.7
Health care and social assistance,2023,31.99
"Information, culture and recreation",2019,26.47
"Information, culture and recreation",2020,29.94
"Information, culture and recreation",2021,31.18
"Information, culture and recreation",2022,31.23
"Information, culture and recreation",2023,31.24
Accommodation and food services,2019,16.57
Accommodation and food services,2020,17.02
Accommodation and food services,2021,17.34
Accommodation and food services,2022,18.5
Accommodation and food services,2023,19.68
Other services (except public administration),2019,24.21
Other services (except public administration),2020,26.32
Other services (except public administration),2021,26.88
Other services (except public administration),2022,27.43
Other services (except public administration),2023,28.83
Public administration,2019,38.26
Public administration,2020,39.78
Public administration,2021,39.89
Public administration,2022,40.79
Public administration,2023,42.61
